"Compra","Venda","Mult","Dif","Tend"
"204,0","208,5","1","4,5","0"
"199,0","208,5","1","9,5","-1"
"208,5","211,0","1","2,5","3"
"201,5","208,5","1","7,0","-1"
"195,5","196,0","1","0,5","-1"
"196,0","199,0","1","3,0","1"
"199,0","208,5","1","9,5","1"
"192,5","198,5","1","6,0","-1"
"189,0","198,5","1","9,5","-0"
"198,5","208,5","1","10,0","3"
"208,5","211,0","1","2,5","3"
"211,0","211,5","4","2,0","1"
"211,5","223,0","6","69,0","1"
"223,0","228,5","8","44,0","3"
"228,5","229,5","1","1,0","3"
"229,5","236,0","4","26,0","1"
"236,0","238,0","6","12,0","2"
"238,0","238,5","12","6,0","1"
"238,5","241,0","4","10,0","1"
"238,5","241,0","1","2,5","0"
"241,0","236,0","4","-20,0","1"
"239,0","239,5","1","0,5","-0"
"239,5","236,0","4","-14,0","1"
"","","203.5","",""
