"Compra","Venda","Mult","Dif","Tend"
"223,5","225,0","1","1,5","0"
"225,0","226,0","4","4,0","1"
"226,0","227,5","6","9,0","1"
"227,5","229,0","4","6,0","1"
"227,5","229,0","1","1,5","0"
"229,0","229,5","4","2,0","1"
"225,5","226,5","1","1,0","-0"
"226,5","227,5","4","4,0","1"
"227,5","229,5","4","8,0","1"
"229,5","235,0","6","33,0","1"
"235,0","236,5","8","12,0","2"
"236,5","243,0","8","52,0","2"
"243,0","245,0","10","20,0","2"
"245,0","239,0","4","-24,0","2"
"244,0","239,0","1","-5,0","-0"
"","","125","",""
