"Compra","Venda","Mult","Dif","Tend"
"232,5","234,5","1","2,0","0"
"231,0","232,5","1","1,5","-1.5"
"224,0","226,5","1","2,5","-7"
"219,0","222,0","1","3,0","-5"
"213,0","216,5","1","3,5","-6"
"216,5","217,5","1","1,0","3.5"
"217,5","218,0","1","0,5","1"
"218,0","222,0","4","16,0","0.5"
"222,0","226,5","6","27,0","4"
"226,5","227,5","8","8,0","4.5"
"227,5","228,0","10","5,0","1"
"228,0","231,0","12","36,0","0.5"
"231,0","232,5","14","21,0","6"
"232,5","234,5","16","32,0","1.5"
"234,5","235,5","18","18,0","2"
"235,5","237,0","4","6,0","1.5"
"233,0","234,0","1","1,0","-2.5"
"234,0","237,0","1","3,0","1.5"
"237,0","212,5","1","-24,5","6"
"235,0","212,5","1","-22,5","-2"
"234,0","235,0","1","1,0","-1"
"235,0","212,5","1","-22,5","1"
"233,0","212,5","1","-20,5","-2"
"232,0","212,5","1","-19,5","-1"
"","","78.5","",""
